"Story","Title","Result","Date","Stability","Duration (s)"
"Consumir recurso pokeapi","Pokemon registrado","SUCCESS","2021-10-22T23:03:12.712-05:00[America/Bogota]","0.0","3.68"
"Consumir recurso pokeapi","Recurso no encontrado","SUCCESS","2021-10-22T23:03:16.391-05:00[America/Bogota]","0.0","0.45"
