"Story","Title","Result","Date","Stability","Duration (s)"
"Consumir recurso pokeapi","Pokemon registrado","SUCCESS","2021-10-23T08:05:58.988-05:00[America/Bogota]","0.0","3.66"
"Consumir recurso pokeapi","Recurso no encontrado","SUCCESS","2021-10-23T08:06:02.645-05:00[America/Bogota]","0.0","2.05"
